Cycle No.	Current
Cycle	A
133	8.36181640625003E-6
133	2.301025390625E-4
134	8.36181640625003E-6
134	2.2918701171875E-4
135	8.51440429687503E-6
135	2.2833251953125E-4
136	8.42285156249997E-6
136	2.27142333984375E-4
137	8.51440429687503E-6
137	2.26531982421875E-4
138	8.544921875E-6
138	2.254638671875E-4
139	8.60595703124994E-6
139	2.24517822265625E-4
140	8.45336914062494E-6
140	2.2357177734375E-4
141	8.51440429687503E-6
141	2.2283935546875E-4
142	8.60595703124994E-6
142	2.21771240234375E-4
143	8.544921875E-6
143	2.20916748046875E-4
144	8.697509765625E-6
144	2.2021484375E-4
145	8.51440429687503E-6
145	2.1923828125E-4
146	8.63647460937506E-6
146	2.18414306640625E-4
147	8.392333984375E-6
147	2.1728515625E-4
148	8.392333984375E-6
148	2.164306640625E-4
149	8.697509765625E-6
149	2.15911865234375E-4
150	8.51440429687503E-6
150	2.1484375E-4
151	8.51440429687503E-6
151	2.14111328125E-4
152	8.51440429687503E-6
152	2.135009765625E-4
153	8.78906250000006E-6
153	2.12677001953125E-4
154	8.57543945312497E-6
154	2.1197509765625E-4
155	8.81958007812503E-6
155	2.11273193359375E-4
156	8.57543945312497E-6
156	2.1026611328125E-4
157	8.57543945312497E-6
157	2.09564208984375E-4
158	8.63647460937506E-6
158	2.08709716796875E-4
159	8.48388671875005E-6
159	2.0794677734375E-4
160	8.57543945312497E-6
160	2.071533203125E-4
161	8.36181640625003E-6
161	2.06268310546875E-4
162	8.48388671875005E-6
162	2.05810546875E-4
163	8.36181640625003E-6
163	2.05078125E-4
164	8.392333984375E-6
164	2.04132080078125E-4
165	8.392333984375E-6
165	2.03521728515625E-4
166	8.392333984375E-6
166	2.02911376953125E-4
167	8.48388671875005E-6
167	2.0196533203125E-4
168	8.20922851562503E-6
168	2.01446533203125E-4
169	8.33129882812506E-6
169	2.008056640625E-4
170	8.42285156249997E-6
170	2.003173828125E-4
171	8.36181640625003E-6
171	1.9970703125E-4
172	8.48388671875005E-6
172	1.99005126953125E-4
173	8.60595703124994E-6
173	1.98394775390625E-4
174	8.66699218750003E-6
174	1.9775390625E-4
175	8.60595703124994E-6
175	1.9720458984375E-4
176	8.57543945312497E-6
176	1.96502685546875E-4
177	8.48388671875005E-6
177	1.9586181640625E-4
178	8.63647460937506E-6
178	1.953125E-4
179	8.66699218750003E-6
179	1.9476318359375E-4
180	8.60595703124994E-6
180	1.94122314453125E-4
181	8.60595703124994E-6
181	1.93359375E-4
182	8.45336914062494E-6
182	1.92718505859375E-4
183	8.57543945312497E-6
183	1.92138671875E-4
184	8.63647460937506E-6
184	1.915283203125E-4
185	8.75854492187495E-6
185	1.91131591796875E-4
186	8.60595703124994E-6
186	1.90521240234375E-4
187	8.66699218750003E-6
187	1.89849853515625E-4
188	8.27026367187497E-6
188	1.893310546875E-4
189	8.48388671875005E-6
189	1.8878173828125E-4
190	8.544921875E-6
190	1.88323974609375E-4
191	8.544921875E-6
191	1.87744140625E-4
192	8.57543945312497E-6
192	1.87225341796875E-4
193	8.48388671875005E-6
193	1.8658447265625E-4
194	8.48388671875005E-6
194	1.8603515625E-4
195	8.42285156249997E-6
195	1.85638427734375E-4
196	8.392333984375E-6
196	1.8511962890625E-4
197	8.63647460937506E-6
197	1.84539794921875E-4
198	8.697509765625E-6
198	1.84173583984375E-4
199	8.51440429687503E-6
199	1.834716796875E-4
200	8.66699218750003E-6
200	1.832275390625E-4
201	8.392333984375E-6
201	1.82281494140625E-4
202	8.30078124999994E-6
202	1.8170166015625E-4
203	8.30078124999994E-6
203	1.81304931640625E-4
204	8.45336914062494E-6
204	1.810302734375E-4
205	8.544921875E-6
205	1.80450439453125E-4
206	8.48388671875005E-6
206	1.80084228515625E-4
207	8.42285156249997E-6
207	1.793212890625E-4
208	8.33129882812506E-6
208	1.7901611328125E-4
209	8.51440429687503E-6
209	1.787109375E-4
210	8.51440429687503E-6
210	1.7828369140625E-4
211	8.48388671875005E-6
211	1.77764892578125E-4
212	8.42285156249997E-6
212	1.7742919921875E-4
213	8.60595703124994E-6
213	1.767578125E-4
214	8.23974609375E-6
214	1.761474609375E-4
215	8.544921875E-6
215	1.759033203125E-4
216	8.697509765625E-6
216	1.7547607421875E-4
217	8.60595703124994E-6
217	1.751708984375E-4
218	8.66699218750003E-6
218	1.74591064453125E-4
219	8.48388671875005E-6
219	1.74224853515625E-4
220	8.48388671875005E-6
220	1.7376708984375E-4
221	8.63647460937506E-6
221	1.73309326171875E-4
222	8.72802734374997E-6
222	1.73065185546875E-4
223	8.63647460937506E-6
223	1.72576904296875E-4
224	8.544921875E-6
224	1.72119140625E-4
225	8.51440429687503E-6
225	1.71630859375E-4
226	8.57543945312497E-6
226	1.7132568359375E-4
227	8.66699218750003E-6
227	1.710205078125E-4
228	8.72802734374997E-6
228	1.7041015625E-4
229	8.42285156249997E-6
229	1.700439453125E-4
230	8.57543945312497E-6
230	1.69830322265625E-4
231	8.57543945312497E-6
231	1.69219970703125E-4
232	8.27026367187497E-6
232	1.68792724609375E-4
233	8.392333984375E-6
233	1.6845703125E-4
234	8.17871093750006E-6
234	1.67816162109375E-4
235	8.544921875E-6
235	1.6778564453125E-4
236	8.45336914062494E-6
236	1.67388916015625E-4
237	8.66699218750003E-6
237	1.66900634765625E-4
238	8.63647460937506E-6
238	1.66656494140625E-4
239	8.45336914062494E-6
239	1.6619873046875E-4
240	8.42285156249997E-6
240	1.65740966796875E-4
241	8.45336914062494E-6
241	1.65283203125E-4
242	8.33129882812506E-6
242	1.650390625E-4
243	8.30078124999994E-6
243	1.64886474609375E-4
244	8.75854492187495E-6
244	1.646728515625E-4
245	8.544921875E-6
245	1.6400146484375E-4
246	8.42285156249997E-6
246	1.634521484375E-4
247	8.544921875E-6
247	1.63238525390625E-4
248	8.30078124999994E-6
248	1.62872314453125E-4
249	8.63647460937506E-6
249	1.62750244140625E-4
250	8.51440429687503E-6
250	1.62261962890625E-4
251	8.087158203125E-6
251	1.45172119140625E-4
252	8.57543945312497E-6
252	1.5313720703125E-4
253	8.48388671875005E-6
253	1.57012939453125E-4
254	8.45336914062494E-6
254	1.5875244140625E-4
255	8.51440429687503E-6
255	1.593017578125E-4
256	8.60595703124994E-6
256	1.5972900390625E-4
257	8.66699218750003E-6
257	1.5972900390625E-4
258	8.57543945312497E-6
258	1.59759521484375E-4
259	8.544921875E-6
259	1.5948486328125E-4
260	8.57543945312497E-6
260	1.59271240234375E-4
261	8.66699218750003E-6
261	1.590576171875E-4
262	8.45336914062494E-6
262	1.5863037109375E-4
263	8.60595703124994E-6
263	1.585693359375E-4
264	8.544921875E-6
264	1.5814208984375E-4
265	8.63647460937506E-6
265	1.57745361328125E-4
266	8.33129882812506E-6
266	1.57501220703125E-4
267	8.48388671875005E-6
267	1.5716552734375E-4
268	8.392333984375E-6
268	1.56951904296875E-4
269	8.42285156249997E-6
269	1.566162109375E-4
270	8.66699218750003E-6
270	1.56463623046875E-4
271	8.51440429687503E-6
271	1.55975341796875E-4
272	8.48388671875005E-6
272	1.556396484375E-4
273	8.30078124999994E-6
273	1.55364990234375E-4
274	8.544921875E-6
274	1.552734375E-4
275	8.45336914062494E-6
275	1.5484619140625E-4
276	8.697509765625E-6
276	1.5460205078125E-4
277	8.63647460937506E-6
277	1.54144287109375E-4
278	8.392333984375E-6
278	1.539306640625E-4
279	8.48388671875005E-6
279	1.53778076171875E-4
280	8.63647460937506E-6
280	1.53472900390625E-4
281	8.85009765625E-6
281	1.533203125E-4
282	8.75854492187495E-6
282	1.52923583984375E-4
283	8.81958007812503E-6
283	1.52618408203125E-4
284	8.81958007812503E-6
284	1.52679443359375E-4
285	8.75854492187495E-6
285	1.5234375E-4
286	8.697509765625E-6
286	1.5191650390625E-4
287	8.72802734374997E-6
287	1.51641845703125E-4
288	8.72802734374997E-6
288	1.514892578125E-4
289	8.72802734374997E-6
289	1.51123046875E-4
290	8.57543945312497E-6
290	1.507568359375E-4
291	8.63647460937506E-6
291	1.50726318359375E-4
292	8.66699218750003E-6
292	1.50177001953125E-4
293	8.42285156249997E-6
293	1.5008544921875E-4
294	8.63647460937506E-6
294	1.4971923828125E-4
295	8.66699218750003E-6
295	1.494140625E-4
296	8.63647460937506E-6
296	1.492919921875E-4
297	8.75854492187495E-6
297	1.490478515625E-4
298	8.60595703124994E-6
298	1.48681640625E-4
299	8.48388671875005E-6
299	1.4837646484375E-4
300	8.57543945312497E-6
300	1.480712890625E-4
301	8.72802734374997E-6
301	1.480712890625E-4
302	8.697509765625E-6
302	1.47857666015625E-4
303	8.60595703124994E-6
303	1.47430419921875E-4
304	8.75854492187495E-6
304	1.47308349609375E-4
305	8.48388671875005E-6
305	1.46759033203125E-4
306	8.63647460937506E-6
306	1.46759033203125E-4
307	8.45336914062494E-6
307	1.46270751953125E-4
308	8.48388671875005E-6
308	1.4617919921875E-4
309	8.72802734374997E-6
309	1.46087646484375E-4
310	8.63647460937506E-6
310	1.45751953125E-4
311	8.57543945312497E-6
311	1.456298828125E-4
312	8.51440429687503E-6
312	1.45172119140625E-4
313	8.544921875E-6
313	1.44927978515625E-4
314	8.48388671875005E-6
314	1.44927978515625E-4
315	8.51440429687503E-6
315	1.4471435546875E-4
316	8.60595703124994E-6
316	1.4447021484375E-4
317	8.63647460937506E-6
317	1.4434814453125E-4
318	8.66699218750003E-6
318	1.4385986328125E-4
319	8.42285156249997E-6
319	1.43646240234375E-4
320	8.544921875E-6
320	1.4349365234375E-4
321	8.66699218750003E-6
321	1.43280029296875E-4
322	8.72802734374997E-6
322	1.431884765625E-4
323	8.60595703124994E-6
323	1.4288330078125E-4
324	8.72802734374997E-6
324	1.427001953125E-4
325	8.72802734374997E-6
