Voltage	Current	Scan No.
V	A	Scan
-0.65673828125	-9.11865234375E-6	1
-0.654296875	-8.9508056640625E-6	1
-0.65185546875	-9.014892578125E-6	1
-0.6494140625	-9.478759765625E-6	1
-0.64697265625	-9.027099609375E-6	1
-0.64453125	-8.6761474609375E-6	1
-0.64208984375	-8.7799072265625E-6	1
-0.6396484375	-8.587646484375E-6	1
-0.63720703125	-8.63037109375E-6	1
-0.634765625	-9.02099609375E-6	1
-0.63232421875	-8.82568359375E-6	1
-0.6298828125	-8.5113525390625E-6	1
-0.62744140625	-8.1695556640625E-6	1
-0.625	-8.099365234375E-6	1
-0.62255859375	-8.660888671875E-6	1
-0.6201171875	-8.10546875E-6	1
-0.61767578125	-8.099365234375E-6	1
-0.615234375	-8.10546875E-6	1
-0.61279296875	-7.9071044921875E-6	1
-0.6103515625	-8.10546875E-6	1
-0.60791015625	-8.23974609375E-6	1
-0.60546875	-7.3760986328125E-6	1
-0.60302734375	-7.84912109375E-6	1
-0.6005859375	-7.6568603515625E-6	1
-0.59814453125	-7.891845703125E-6	1
-0.595703125	-7.92236328125E-6	1
-0.59326171875	-7.4432373046875E-6	1
-0.5908203125	-7.5653076171875E-6	1
-0.58837890625	-7.53173828125E-6	1
-0.5859375	-7.269287109375E-6	1
-0.58349609375	-7.568359375E-6	1
-0.5810546875	-7.36083984375E-6	1
-0.57861328125	-7.550048828125E-6	1
-0.576171875	-7.12890625E-6	1
-0.57373046875	-7.122802734375E-6	1
-0.5712890625	-7.281494140625E-6	1
-0.56884765625	-6.7901611328125E-6	1
-0.56640625	-6.73828125E-6	1
-0.56396484375	-6.7718505859375E-6	1
-0.5615234375	-6.298828125E-6	1
-0.55908203125	-6.9000244140625E-6	1
-0.556640625	-6.6558837890625E-6	1
-0.55419921875	-6.6864013671875E-6	1
-0.5517578125	-6.6680908203125E-6	1
-0.54931640625	-6.79931640625E-6	1
-0.546875	-6.2957763671875E-6	1
-0.54443359375	-6.231689453125E-6	1
-0.5419921875	-6.451416015625E-6	1
-0.53955078125	-6.219482421875E-6	1
-0.537109375	-6.1492919921875E-6	1
-0.53466796875	-6.33544921875E-6	1
-0.5322265625	-6.54296875E-6	1
-0.52978515625	-5.9722900390625E-6	1
-0.52734375	-6.085205078125E-6	1
-0.52490234375	-5.6243896484375E-6	1
-0.5224609375	-6.1767578125E-6	1
-0.52001953125	-6.09130859375E-6	1
-0.517578125	-5.7586669921875E-6	1
-0.51513671875	-5.694580078125E-6	1
-0.5126953125	-5.682373046875E-6	1
-0.51025390625	-5.560302734375E-6	1
-0.5078125	-5.5145263671875E-6	1
-0.50537109375	-5.487060546875E-6	1
-0.5029296875	-5.224609375E-6	1
-0.50048828125	-5.5023193359375E-6	1
-0.498046875	-5.2398681640625E-6	1
-0.49560546875	-5.0537109375E-6	1
-0.4931640625	-5.303955078125E-6	1
-0.49072265625	-5.13916015625E-6	1
-0.48828125	-4.669189453125E-6	1
-0.48583984375	-4.9957275390625E-6	1
-0.4833984375	-4.949951171875E-6	1
-0.48095703125	-4.9163818359375E-6	1
-0.478515625	-4.791259765625E-6	1
-0.47607421875	-4.45343017578125E-6	1
