 time           time           v(p)           v(s0)          v(s1)          v(w_mem)       v(n)          
 3.8145120e-06  3.8145120e-06  1.8628903e+00  7.9800932e-06  8.0077938e-06  5.0000519e-01  9.4076915e-03 
 3.8645120e-06  3.8645120e-06  1.8740916e+00  8.1234579e-06  8.1516561e-06  5.0000528e-01  9.4642609e-03 
 3.9145120e-06  3.9145120e-06  1.8848306e+00  8.2669707e-06  8.2956671e-06  5.0000538e-01  9.5184951e-03 
 3.9645120e-06  3.9645120e-06  1.8951046e+00  8.4106227e-06  8.4398178e-06  5.0000547e-01  9.5703807e-03 
 4.0145120e-06  4.0145120e-06  1.9049109e+00  8.5544051e-06  8.5840992e-06  5.0000556e-01  9.6199051e-03 
 4.0645120e-06  4.0645120e-06  1.9142473e+00  8.6983094e-06  8.7285031e-06  5.0000566e-01  9.6670559e-03 
 4.1145120e-06  4.1145120e-06  1.9231113e+00  8.8423276e-06  8.8730212e-06  5.0000575e-01  9.7118215e-03 
 4.1645120e-06  4.1645120e-06  1.9315008e+00  8.9864520e-06  9.0176459e-06  5.0000585e-01  9.7541909e-03 
 4.2145120e-06  4.2145120e-06  1.9394138e+00  9.1306751e-06  9.1623696e-06  5.0000594e-01  9.7941536e-03 
 4.2645120e-06  4.2645120e-06  1.9468482e+00  9.2749897e-06  9.3071851e-06  5.0000603e-01  9.8316998e-03 
 4.3145120e-06  4.3145120e-06  1.9538023e+00  9.4193889e-06  9.4520856e-06  5.0000613e-01  9.8668201e-03 
 4.3645120e-06  4.3645120e-06  1.9602743e+00  9.5638659e-06  9.5970641e-06  5.0000622e-01  9.8995060e-03 
 4.4145120e-06  4.4145120e-06  1.9662627e+00  9.7084144e-06  9.7421143e-06  5.0000632e-01  9.9297493e-03 
 4.4645120e-06  4.4645120e-06  1.9717658e+00  9.8530279e-06  9.8872299e-06  5.0000641e-01  9.9575426e-03 
 4.5145120e-06  4.5145120e-06  1.9767825e+00  9.9977004e-06  1.0032405e-05  5.0000650e-01  9.9828791e-03 
 4.5645120e-06  4.5645120e-06  1.9813115e+00  1.0142426e-05  1.0177632e-05  5.0000660e-01  1.0005752e-02 
 4.6145120e-06  4.6145120e-06  1.9853516e+00  1.0287198e-05  1.0322907e-05  5.0000669e-01  1.0026157e-02 
 4.6645120e-06  4.6645120e-06  1.9889018e+00  1.0432012e-05  1.0468224e-05  5.0000679e-01  1.0044088e-02 
 4.7145120e-06  4.7145120e-06  1.9919613e+00  1.0576862e-05  1.0613577e-05  5.0000688e-01  1.0059540e-02 
 4.7645120e-06  4.7645120e-06  1.9945293e+00  1.0721742e-05  1.0758960e-05  5.0000697e-01  1.0072511e-02 
 4.8145120e-06  4.8145120e-06  1.9966052e+00  1.0866648e-05  1.0904368e-05  5.0000707e-01  1.0082996e-02 
 4.8645120e-06  4.8645120e-06  1.9981885e+00  1.1011572e-05  1.1049796e-05  5.0000716e-01  1.0090994e-02 
 4.9145120e-06  4.9145120e-06  1.9992788e+00  1.1156511e-05  1.1195237e-05  5.0000726e-01  1.0096501e-02 
 4.9645120e-06  4.9645120e-06  1.9998757e+00  1.1301459e-05  1.1340688e-05  5.0000735e-01  1.0099518e-02 
 5.0145120e-06  5.0145120e-06  1.9999792e+00  1.1446410e-05  1.1486143e-05  5.0000745e-01  1.0100042e-02 
 5.0645120e-06  5.0645120e-06  1.9995893e+00  1.1591360e-05  1.1631596e-05  5.0000754e-01  1.0098075e-02 
 5.1145120e-06  5.1145120e-06  1.9987059e+00  1.1736303e-05  1.1777042e-05  5.0000763e-01  1.0093616e-02 
 5.1645120e-06  5.1645120e-06  1.9973295e+00  1.1881234e-05  1.1922476e-05  5.0000773e-01  1.0086667e-02 
 5.2145120e-06  5.2145120e-06  1.9954602e+00  1.2026148e-05  1.2067893e-05  5.0000782e-01  1.0077228e-02 
 5.2645120e-06  5.2645120e-06  1.9930985e+00  1.2171039e-05  1.2213287e-05  5.0000792e-01  1.0065304e-02 
 5.3145120e-06  5.3145120e-06  1.9902451e+00  1.2315902e-05  1.2358653e-05  5.0000801e-01  1.0050896e-02 
 5.3645120e-06  5.3645120e-06  1.9869007e+00  1.2460731e-05  1.2503985e-05  5.0000811e-01  1.0034008e-02 
 5.4145120e-06  5.4145120e-06  1.9830660e+00  1.2605522e-05  1.2649278e-05  5.0000820e-01  1.0014644e-02 
