Voltage	Current	Upper Vertex
V	A	V
-0.3271484375	-2.89306640625E-6	1.25 V
-0.32470703125	-3.10333251953125E-6	1.25 V
-0.322265625	-2.998046875E-6	1.25 V
-0.31982421875	-2.745361328125E-6	1.25 V
-0.3173828125	-2.87109375E-6	1.25 V
-0.31494140625	-3.00445556640625E-6	1.25 V
-0.3125	-2.66357421875E-6	1.25 V
-0.31005859375	-2.67364501953125E-6	1.25 V
-0.3076171875	-2.645263671875E-6	1.25 V
-0.30517578125	-2.61444091796875E-6	1.25 V
-0.302734375	-2.5189208984375E-6	1.25 V
-0.30029296875	-2.35260009765625E-6	1.25 V
-0.2978515625	-2.61505126953125E-6	1.25 V
-0.29541015625	-2.4102783203125E-6	1.25 V
-0.29296875	-2.27569580078125E-6	1.25 V
-0.29052734375	-1.91131591796875E-6	1.25 V
-0.2880859375	-2.33367919921875E-6	1.25 V
-0.28564453125	-2.4212646484375E-6	1.25 V
-0.283203125	-2.0611572265625E-6	1.25 V
-0.28076171875	-2.2442626953125E-6	1.25 V
-0.2783203125	-2.09259033203125E-6	1.25 V
-0.27587890625	-1.76788330078125E-6	1.25 V
-0.2734375	-2.0050048828125E-6	1.25 V
-0.27099609375	-1.9805908203125E-6	1.25 V
-0.2685546875	-1.89422607421875E-6	1.25 V
-0.26611328125	-1.94091796875E-6	1.25 V
-0.263671875	-1.6424560546875E-6	1.25 V
-0.26123046875	-1.48712158203125E-6	1.25 V
-0.2587890625	-1.67877197265625E-6	1.25 V
-0.25634765625	-1.829833984375E-6	1.25 V
-0.25390625	-1.32781982421875E-6	1.25 V
-0.25146484375	-1.5960693359375E-6	1.25 V
-0.2490234375	-1.60675048828125E-6	1.25 V
-0.24658203125	-1.26190185546875E-6	1.25 V
-0.244140625	-1.3592529296875E-6	1.25 V
-0.24169921875	-1.27166748046875E-6	1.25 V
-0.2392578125	-1.38214111328125E-6	1.25 V
-0.23681640625	-1.26678466796875E-6	1.25 V
-0.234375	-1.3330078125E-6	1.25 V
-0.23193359375	-1.0772705078125E-6	1.25 V
-0.2294921875	-1.12274169921875E-6	1.25 V
-0.22705078125	-1.1822509765625E-6	1.25 V
-0.224609375	-1.043701171875E-6	1.25 V
-0.22216796875	-1.0888671875E-6	1.25 V
-0.2197265625	-8.636474609375E-7	1.25 V
-0.21728515625	-6.7657470703125E-7	1.25 V
-0.21484375	-7.818603515625E-7	1.25 V
-0.21240234375	-9.442138671875E-7	1.25 V
-0.2099609375	-8.416748046875E-7	1.25 V
-0.20751953125	-9.0362548828125E-7	1.25 V
