Voltage	Current	Upper Vertex
V	A	V
-0.2685546875	-4.21630859375E-6	0.25 V
-0.27099609375	-3.8140869140625E-6	0.25 V
-0.2734375	-4.2193603515625E-6	0.25 V
-0.27587890625	-4.356689453125E-6	0.25 V
-0.2783203125	-4.28466796875E-6	0.25 V
-0.28076171875	-4.22027587890625E-6	0.25 V
-0.283203125	-4.33563232421875E-6	0.25 V
-0.28564453125	-4.0966796875E-6	0.25 V
-0.2880859375	-4.2767333984375E-6	0.25 V
-0.29052734375	-4.298095703125E-6	0.25 V
-0.29296875	-4.312744140625E-6	0.25 V
-0.29541015625	-4.40185546875E-6	0.25 V
-0.2978515625	-4.427490234375E-6	0.25 V
-0.30029296875	-4.5556640625E-6	0.25 V
-0.302734375	-4.54742431640625E-6	0.25 V
-0.30517578125	-4.58709716796875E-6	0.25 V
-0.3076171875	-4.07867431640625E-6	0.25 V
-0.31005859375	-4.75921630859375E-6	0.25 V
-0.3125	-4.81842041015625E-6	0.25 V
-0.31494140625	-4.16900634765625E-6	0.25 V
-0.3173828125	-4.49127197265625E-6	0.25 V
-0.31982421875	-4.6807861328125E-6	0.25 V
-0.322265625	-4.79766845703125E-6	0.25 V
-0.32470703125	-4.632568359375E-6	0.25 V
-0.3271484375	-4.7991943359375E-6	0.25 V
-0.32958984375	-4.97650146484375E-6	0.25 V
-0.33203125	-5.0372314453125E-6	0.25 V
-0.33447265625	-4.89776611328125E-6	0.25 V
-0.3369140625	-5.0689697265625E-6	0.25 V
-0.33935546875	-5.12908935546875E-6	0.25 V
-0.341796875	-4.82818603515625E-6	0.25 V
-0.34423828125	-4.86175537109375E-6	0.25 V
-0.3466796875	-5.0286865234375E-6	0.25 V
-0.34912109375	-5.14068603515625E-6	0.25 V
-0.3515625	-4.66827392578125E-6	0.25 V
-0.35400390625	-5.2325439453125E-6	0.25 V
-0.3564453125	-5.2947998046875E-6	0.25 V
-0.35888671875	-5.32745361328125E-6	0.25 V
-0.361328125	-5.0469970703125E-6	0.25 V
-0.36376953125	-5.49652099609375E-6	0.25 V
-0.3662109375	-5.5010986328125E-6	0.25 V
-0.36865234375	-5.25909423828125E-6	0.25 V
-0.37109375	-5.1885986328125E-6	0.25 V
-0.37353515625	-5.50537109375E-6	0.25 V
-0.3759765625	-5.45501708984375E-6	0.25 V
-0.37841796875	-5.269775390625E-6	0.25 V
-0.380859375	-5.3143310546875E-6	0.25 V
-0.38330078125	-5.53741455078125E-6	0.25 V
-0.3857421875	-5.6732177734375E-6	0.25 V
-0.38818359375	-5.2642822265625E-6	0.25 V
-0.390625	-5.80718994140625E-6	0.25 V
-0.39306640625	-5.80902099609375E-6	0.25 V
-0.3955078125	-5.71533203125E-6	0.25 V
-0.39794921875	-5.3826904296875E-6	0.25 V
-0.400390625	-5.74737548828125E-6	0.25 V
-0.40283203125	-6.0089111328125E-6	0.25 V
-0.4052734375	-6.2957763671875E-6	0.25 V
-0.40771484375	-6.0150146484375E-6	0.25 V
-0.41015625	-6.280517578125E-6	0.25 V
-0.41259765625	-6.353759765625E-6	0.25 V
-0.4150390625	-6.6741943359375E-6	0.25 V
-0.41748046875	-6.231689453125E-6	0.25 V
-0.419921875	-6.53076171875E-6	0.25 V
-0.42236328125	-6.756591796875E-6	0.25 V
-0.4248046875	-6.793212890625E-6	0.25 V
-0.42724609375	-6.60400390625E-6	0.25 V
-0.4296875	-6.890869140625E-6	0.25 V
-0.43212890625	-6.5826416015625E-6	0.25 V
-0.4345703125	-7.04345703125E-6	0.25 V
-0.43701171875	-6.829833984375E-6	0.25 V
-0.439453125	-6.5032958984375E-6	0.25 V
-0.44189453125	-6.634521484375E-6	0.25 V
-0.4443359375	-7.2540283203125E-6	0.25 V
-0.44677734375	-6.9854736328125E-6	0.25 V
-0.44921875	-7.232666015625E-6	0.25 V
-0.45166015625	-7.3089599609375E-6	0.25 V
-0.4541015625	-7.354736328125E-6	0.25 V
-0.45654296875	-6.9671630859375E-6	0.25 V
-0.458984375	-7.1075439453125E-6	0.25 V
-0.46142578125	-7.4676513671875E-6	0.25 V
-0.4638671875	-7.5897216796875E-6	0.25 V
-0.46630859375	-7.171630859375E-6	0.25 V
-0.46875	-7.275390625E-6	0.25 V
-0.47119140625	-7.177734375E-6	0.25 V
-0.4736328125	-7.5531005859375E-6	0.25 V
-0.47607421875	-7.4371337890625E-6	0.25 V
-0.478515625	-7.623291015625E-6	0.25 V
-0.48095703125	-7.696533203125E-6	0.25 V
-0.4833984375	-7.501220703125E-6	0.25 V
-0.48583984375	-7.3760986328125E-6	0.25 V
-0.48828125	-7.6080322265625E-6	0.25 V
-0.49072265625	-7.3150634765625E-6	0.25 V
-0.4931640625	-7.4371337890625E-6	0.25 V
-0.49560546875	-7.5592041015625E-6	0.25 V
-0.498046875	-7.781982421875E-6	0.25 V
-0.50048828125	-7.672119140625E-6	0.25 V
-0.5029296875	-7.6904296875E-6	0.25 V
-0.50537109375	-7.928466796875E-6	0.25 V
-0.5078125	-7.5927734375E-6	0.25 V
-0.51025390625	-8.099365234375E-6	0.25 V
-0.5126953125	-7.9681396484375E-6	0.25 V
-0.51513671875	-7.5897216796875E-6	0.25 V
-0.517578125	-8.282470703125E-6	0.25 V
-0.52001953125	-7.7850341796875E-6	0.25 V
-0.5224609375	-7.75146484375E-6	0.25 V
-0.52490234375	-8.111572265625E-6	0.25 V
-0.52734375	-8.1695556640625E-6	0.25 V
-0.52978515625	-7.916259765625E-6	0.25 V
-0.5322265625	-8.0963134765625E-6	0.25 V
-0.53466796875	-8.19091796875E-6	0.25 V
-0.537109375	-8.0352783203125E-6	0.25 V
-0.53955078125	-8.3892822265625E-6	0.25 V
-0.5419921875	-8.2244873046875E-6	0.25 V
-0.54443359375	-7.757568359375E-6	0.25 V
-0.546875	-8.2977294921875E-6	0.25 V
-0.54931640625	-8.367919921875E-6	0.25 V
-0.5517578125	-8.4503173828125E-6	0.25 V
-0.55419921875	-8.3831787109375E-6	0.25 V
-0.556640625	-8.447265625E-6	0.25 V
-0.55908203125	-8.41064453125E-6	0.25 V
-0.5615234375	-8.26416015625E-6	0.25 V
-0.56396484375	-9.0576171875E-6	0.25 V
-0.56640625	-8.3953857421875E-6	0.25 V
-0.56884765625	-8.6639404296875E-6	0.25 V
-0.5712890625	-9.1400146484375E-6	0.25 V
-0.57373046875	-8.3343505859375E-6	0.25 V
-0.576171875	-8.6761474609375E-6	0.25 V
-0.57861328125	-8.82568359375E-6	0.25 V
-0.5810546875	-8.5723876953125E-6	0.25 V
-0.58349609375	-8.6883544921875E-6	0.25 V
-0.5859375	-8.990478515625E-6	0.25 V
-0.58837890625	-9.1094970703125E-6	0.25 V
-0.5908203125	-9.0362548828125E-6	0.25 V
-0.59326171875	-9.2315673828125E-6	0.25 V
-0.595703125	-8.9599609375E-6	0.25 V
-0.59814453125	-9.2803955078125E-6	0.25 V
-0.6005859375	-9.3475341796875E-6	0.25 V
-0.60302734375	-9.027099609375E-6	0.25 V
-0.60546875	-9.0789794921875E-6	0.25 V
-0.60791015625	-9.161376953125E-6	0.25 V
-0.6103515625	-9.2132568359375E-6	0.25 V
-0.61279296875	-9.0301513671875E-6	0.25 V
-0.615234375	-9.228515625E-6	0.25 V
-0.61767578125	-9.26513671875E-6	0.25 V
-0.6201171875	-9.2559814453125E-6	0.25 V
-0.62255859375	-9.77783203125E-6	0.25 V
-0.625	-8.929443359375E-6	0.25 V
-0.62744140625	-9.5489501953125E-6	0.25 V
-0.6298828125	-9.8358154296875E-6	0.25 V
