Time	Current	Time	Current	Time	Current	Time	Current
s	A	s	A	s	A	s	A
0.8 V	0.8 V	1.2 V	1.2 V	1.4 V	1.4 V	1.6 V	1.6 V
0.0672209998302833	-2.74658203125E-6	0.0672289998302631	-2.44140625E-6	0.0672129998303035	-2.13623046875E-6	0.0672029998303287	-9.1552734375E-7
0.0673229998300258	-3.35693359375E-6	0.0673229998300258	-9.1552734375E-7	0.067312999830051	-1.52587890625E-6	0.0673049998300712	0
0.0674259998297657	0	0.0674259998297657	-6.103515625E-7	0.0674149998297935	-3.0517578125E-6	0.0674069998298137	-1.8310546875E-6
0.0675199998295284	-1.220703125E-6	0.0675279998295082	-4.2724609375E-6	0.067516999829536	-1.52587890625E-6	0.0675019998295738	-1.8310546875E-6
0.0676219998292709	-3.0517578125E-7	0.0676229998292683	-1.220703125E-6	0.0676109998292986	-1.220703125E-6	0.0676049998293138	-1.8310546875E-6
0.0677219998290184	2.74658203125E-6	0.0677249998290108	-2.44140625E-6	0.0677139998290386	-2.13623046875E-6	0.0677069998290563	-6.103515625E-7
0.0678239998287609	-1.52587890625E-6	0.0678269998287533	-2.44140625E-6	0.0678159998287811	-2.74658203125E-6	0.0678009998288189	-2.44140625E-6
0.0679259998285033	3.35693359375E-6	0.0679219998285134	-6.103515625E-7	0.0679109998285412	-1.52587890625E-6	0.0679029998285614	-1.220703125E-6
0.068019999828266	6.103515625E-7	0.0680239998282559	-5.18798828125E-6	0.0680129998282837	-1.52587890625E-6	0.0680059998283014	-1.220703125E-6
0.068122999828006	-3.0517578125E-7	0.0681269998279959	-2.44140625E-6	0.0681159998280236	-1.52587890625E-6	0.0681009998280615	-2.74658203125E-6
0.0682249998277484	-9.1552734375E-7	0.0682289998277383	-1.8310546875E-6	0.0682179998277661	-1.52587890625E-6	0.068202999827804	-2.13623046875E-6
0.0683199998275086	-2.74658203125E-6	0.068322999827501	-1.52587890625E-6	0.0683119998275288	-2.74658203125E-6	0.0683059998275439	-1.220703125E-6
0.0684219998272511	-1.220703125E-6	0.068425999827241	-1.52587890625E-6	0.0684139998272713	-6.103515625E-7	0.0684079998272864	-9.1552734375E-7
0.068524999826991	-6.103515625E-7	0.0685279998269834	0	0.0685169998270112	-6.103515625E-7	0.0685069998270365	-1.52587890625E-6
0.0686199998267512	-2.44140625E-6	0.0686229998267436	-6.103515625E-7	0.0686109998267739	-2.44140625E-6	0.0686019998267966	-3.0517578125E-6
0.0687229998264911	0	0.0687249998264861	-2.74658203125E-6	0.0687139998265138	-3.0517578125E-7	0.0687039998265391	-1.8310546875E-6
0.0688249998262336	-1.52587890625E-6	0.068827999826226	-1.220703125E-6	0.0688159998262563	-1.220703125E-6	0.068806999826279	-1.52587890625E-6
0.0689189998259963	-3.0517578125E-7	0.0689229998259862	-9.1552734375E-7	0.0689179998259988	-2.44140625E-6	0.0689009998260417	-9.1552734375E-7
0.0690189998257438	3.0517578125E-7	0.0690249998257286	-1.52587890625E-6	0.0690129998257589	3.0517578125E-7	0.0690029998257842	-2.13623046875E-6
0.0691219998254837	3.0517578125E-6	0.0691239998254787	-1.220703125E-6	0.0691149998255014	-1.220703125E-6	0.0691029998255317	-1.52587890625E-6
0.0692229998252287	0	0.0692269998252186	-3.35693359375E-6	0.0692169998252439	-6.103515625E-7	0.0692049998252742	-1.52587890625E-6
0.0693259998249687	-6.103515625E-7	0.0693289998249611	0	0.0693129998250015	-5.18798828125E-6	0.0693069998250166	-1.220703125E-6
