Time	Current	Time	Current	Time	Current	Time	Current	Time	Current
s	A	s	A	s	A	s	A	s	A
	10 ms		20 ms		30 ms		40 ms		50 ms
1.04035599737335	-6.103515625E-7	1.04421499736361	-1.220703125E-6	1.04401799736411	-2.13623046875E-6	1.04209199736897	-6.103515625E-7	1.04357699736522	-3.35693359375E-6
1.04045999737309	-9.1552734375E-7	1.04431499736336	-1.220703125E-6	1.04411799736386	3.0517578125E-7	1.04218999736872	-1.8310546875E-6	1.04367799736497	-2.44140625E-6
1.04056199737283	-9.1552734375E-7	1.04441399736311	0	1.0442189973636	-1.8310546875E-6	1.04228799736848	-1.220703125E-6	1.04377799736471	-2.74658203125E-6
1.04066399737258	-9.1552734375E-7	1.04451299736286	-5.79833984375E-6	1.04431999736335	-2.13623046875E-6	1.0423959973682	-1.8310546875E-6	1.04387899736446	-2.74658203125E-6
1.04076599737232	-1.52587890625E-6	1.04461999736259	3.0517578125E-7	1.04441999736309	-2.13623046875E-6	1.04249199736796	-2.13623046875E-6	1.04397899736421	-2.74658203125E-6
1.04085699737209	-6.103515625E-7	1.04471899736234	-3.35693359375E-6	1.04452099736284	-1.52587890625E-6	1.04259099736771	-3.96728515625E-6	1.04407999736395	-2.44140625E-6
1.04095999737183	-9.1552734375E-7	1.04481799736209	3.0517578125E-7	1.04462099736259	-1.220703125E-6	1.04268799736747	-1.8310546875E-6	1.0441799973637	1.220703125E-6
1.04106199737157	0	1.04491699736184	-1.220703125E-6	1.04472099736233	-6.103515625E-7	1.04279599736719	-6.103515625E-7	1.04428099736344	-2.44140625E-6
1.04116399737131	-1.220703125E-6	1.04501699736159	0	1.04482199736208	-2.13623046875E-6	1.04289199736695	-2.13623046875E-6	1.04438099736319	-3.96728515625E-6
1.04126499737106	-9.1552734375E-7	1.04511599736134	-2.44140625E-6	1.04492199736183	-2.74658203125E-6	1.0429899973667	-3.662109375E-6	1.04448199736294	-2.74658203125E-6
1.04135599737083	-6.103515625E-7	1.04521499736109	3.0517578125E-7	1.04502299736157	-1.220703125E-6	1.04308799736646	-2.13623046875E-6	1.04458199736268	-2.13623046875E-6
1.04146099737056	-1.220703125E-6	1.04531399736084	3.0517578125E-7	1.04512299736132	-1.8310546875E-6	1.04319599736618	-1.8310546875E-6	1.04468199736243	-2.74658203125E-6
1.04156199737031	-9.1552734375E-7	1.04541299736059	3.35693359375E-6	1.04522399736106	-1.52587890625E-6	1.04329199736594	-1.52587890625E-6	1.04478299736218	-3.35693359375E-6
1.04166299737005	6.103515625E-7	1.04551999736032	-2.44140625E-6	1.04532399736081	-1.220703125E-6	1.04338999736569	-2.13623046875E-6	1.04488399736192	-3.0517578125E-6
1.0417649973698	-1.220703125E-6	1.04561899736007	-6.7138671875E-6	1.04542399736056	-3.0517578125E-6	1.04348799736545	1.8310546875E-6	1.04498399736167	-3.0517578125E-7
1.04185599736957	-9.1552734375E-7	1.04571799735982	-3.35693359375E-6	1.0455249973603	-9.1552734375E-7	1.04359599736517	-3.0517578125E-6	1.04508499736141	-3.0517578125E-6
1.0419599973693	-9.1552734375E-7	1.04581799735956	-3.0517578125E-7	1.04562499736005	-2.13623046875E-6	1.04369199736493	-2.13623046875E-6	1.04518499736116	-2.74658203125E-6
1.04206199736905	-6.103515625E-7	1.04591699735931	-3.0517578125E-7	1.0457259973598	-6.103515625E-7	1.04378999736468	-2.13623046875E-6	1.04528599736091	-2.13623046875E-6
1.04216299736879	-6.103515625E-7	1.04601599735906	-6.103515625E-7	1.04582599735954	-2.44140625E-6	1.04388799736444	-2.44140625E-6	1.04538699736065	-3.0517578125E-6
1.04226499736853	-3.0517578125E-7	1.04611499735881	-9.1552734375E-7	1.04592699735929	-1.8310546875E-6	1.04399599736416	-1.52587890625E-6	1.0454879973604	-3.96728515625E-6
1.0423559973683	-6.103515625E-7	1.04621399735856	-6.103515625E-7	1.04602799735903	-2.13623046875E-6	1.04409099736392	-1.52587890625E-6	1.04558799736014	-2.74658203125E-6
1.04246099736804	-6.103515625E-7	1.04631399735831	-1.220703125E-6	1.04612799735878	-1.52587890625E-6	1.04418899736368	-2.13623046875E-6	1.04568799735989	-2.44140625E-6
1.04256199736778	-1.220703125E-6	1.04641299735806	-3.35693359375E-6	1.04622799735853	-1.8310546875E-6	1.04428799736343	-1.52587890625E-6	1.04578899735964	-4.2724609375E-6
1.04266399736753	-1.220703125E-6	1.04651999735779	0	1.04632899735827	-3.0517578125E-7	1.04439499736316	-1.8310546875E-6	1.04588899735938	-2.44140625E-6
1.04276499736727	-6.103515625E-7	1.04661899735754	-2.74658203125E-6	1.04642899735802	-2.44140625E-6	1.04449099736291	-3.96728515625E-6	1.04598999735913	-7.01904296875E-6
1.04285599736704	-1.220703125E-6	1.04671799735729	3.35693359375E-6	1.04652899735777	3.0517578125E-7	1.04458999736266	-3.35693359375E-6	1.04608999735888	-1.8310546875E-6
1.04295999736678	-1.220703125E-6	1.04681699735704	3.0517578125E-7	1.04662999735751	1.52587890625E-6	1.04469699736239	-2.74658203125E-6	1.04619099735862	-2.13623046875E-6
1.04306099736652	-9.1552734375E-7	1.04691599735679	-2.13623046875E-6	1.04673099735726	-9.1552734375E-7	1.04479199736215	-4.57763671875E-6	1.04629099735837	-3.35693359375E-6
1.04316299736627	-1.52587890625E-6	1.04701499735654	-1.220703125E-6	1.04683099735701	-5.18798828125E-6	1.0448909973619	-1.220703125E-6	1.04639099735812	-3.0517578125E-6
1.04326399736601	2.13623046875E-6	1.04711499735629	-2.13623046875E-6	1.04693099735675	-2.13623046875E-6	1.04498899736166	-6.103515625E-7	1.04649199735786	-3.0517578125E-6
